datum,colli,zendingen,feestdag
2023-05-05,700,28,0
2023-05-06,260,12,0
2023-05-07,19,1,0
2023-05-08,1097,48,0
2023-05-09,1058,42,0
2023-05-10,837,32,0
2023-05-11,876,38,0
2023-05-12,570,28,0
2023-05-13,219,8,0
2023-05-14,19,1,0
2023-05-15,1046,49,0
2023-05-16,1044,51,0
2023-05-17,950,36,0
2023-05-18,0,0,1
2023-05-19,1201,70,0
2023-05-20,296,11,0
2023-05-21,18,1,0
2023-05-22,1054,36,0
2023-05-23,921,41,0
2023-05-24,866,36,0
2023-05-25,772,30,0
2023-05-26,729,27,0
2023-05-27,269,11,0
2023-05-28,0,0,1
2023-05-29,0,0,1
2023-05-30,1167,45,0
2023-05-31,925,46,0
2023-06-01,920,40,0
2023-06-02,884,36,0
2023-06-03,294,12,0
2023-06-04,17,1,0
2023-06-05,1090,41,0
2023-06-06,1268,50,0
2023-06-07,1027,43,0
2023-06-08,1097,55,0
2023-06-09,991,38,0
2023-06-10,255,9,0
2023-06-11,20,1,0
2023-06-12,1263,53,0
2023-06-13,1120,47,0
2023-06-14,1020,36,0
2023-06-15,947,33,0
2023-06-16,830,33,0
2023-06-17,238,9,0
2023-06-18,19,1,0
2023-06-19,1119,44,0
2023-06-20,1083,50,0
2023-06-21,925,39,0
2023-06-22,1002,42,0
2023-06-23,899,40,0
2023-06-24,298,17,0
2023-06-25,20,1,0
2023-06-26,1246,50,0
2023-06-27,1027,43,0
2023-06-28,968,42,0
2023-06-29,896,35,0
2023-06-30,869,33,0
2023-07-01,291,11,0
2023-07-02,21,1,0
2023-07-03,1063,44,0
2023-07-04,1197,52,0
2023-07-05,911,43,0
2023-07-06,879,45,0
2023-07-07,822,35,0
2023-07-08,275,13,0
2023-07-09,20,1,0
2023-07-10,1174,50,0
2023-07-11,969,42,0
2023-07-12,907,40,0
2023-07-13,1101,37,0
2023-07-14,849,40,0
2023-07-15,257,11,0
2023-07-16,20,1,0
2023-07-17,1044,44,0
2023-07-18,1320,55,0
2023-07-19,836,31,0
2023-07-20,1017,52,0
2023-07-21,899,38,0
2023-07-22,249,9,0
2023-07-23,20,1,0
2023-07-24,1402,60,0
2023-07-25,1162,55,0
2023-07-26,1036,64,0
2023-07-27,1069,45,0
2023-07-28,864,31,0
2023-07-29,307,14,0
2023-07-30,19,1,0
2023-07-31,1352,55,0
2023-08-01,991,41,0
2023-08-02,1094,41,0
2023-08-03,913,34,0
2023-08-04,747,32,0
2023-08-05,308,12,0
2023-08-06,23,1,0
2023-08-07,1395,51,0
2023-08-08,1041,42,0
2023-08-09,1082,40,0
2023-08-10,916,34,0
2023-08-11,834,36,0
2023-08-12,298,13,0
2023-08-13,15,1,0
2023-08-14,1283,72,0
2023-08-15,974,41,0
2023-08-16,923,38,0
2023-08-17,804,39,0
2023-08-18,701,27,0
2023-08-19,263,11,0
2023-08-20,21,1,0
2023-08-21,1478,68,0
2023-08-22,1089,58,0
2023-08-23,1113,42,0
2023-08-24,926,36,0
2023-08-25,660,28,0
2023-08-26,296,13,0
2023-08-27,20,1,0
2023-08-28,1181,50,0
2023-08-29,1119,50,0
2023-08-30,1047,58,0
2023-08-31,856,33,0
2023-09-01,694,36,0
2023-09-02,282,12,0
2023-09-03,19,1,0
2023-09-04,1180,48,0
2023-09-05,1189,62,0
2023-09-06,1160,42,0
2023-09-07,892,34,0
2023-09-08,882,34,0
2023-09-09,315,11,0
2023-09-10,20,1,0
2023-09-11,1353,93,0
2023-09-12,1014,41,0
2023-09-13,1042,37,0
2023-09-14,1130,41,0
2023-09-15,881,39,0
2023-09-16,263,11,0
2023-09-17,20,1,0
2023-09-18,1364,74,0
2023-09-19,1088,50,0
2023-09-20,891,40,0
2023-09-21,1066,37,0
2023-09-22,688,31,0
2023-09-23,293,10,0
2023-09-24,18,1,0
2023-09-25,1025,54,0
2023-09-26,1168,38,0
2023-09-27,972,46,0
2023-09-28,782,30,0
2023-09-29,838,29,0
2023-09-30,260,12,0
2023-10-01,14,1,0
2023-10-02,1073,40,0
2023-10-03,1043,43,0
2023-10-04,985,48,0
2023-10-05,899,43,0
2023-10-06,777,34,0
2023-10-07,283,11,0
2023-10-08,17,1,0
2023-10-09,1289,50,0
2023-10-10,1013,35,0
2023-10-11,934,34,0
2023-10-12,919,32,0
2023-10-13,671,24,0
2023-10-14,244,13,0
2023-10-15,21,1,0
2023-10-16,1163,47,0
2023-10-17,948,40,0
2023-10-18,922,44,0
2023-10-19,807,42,0
2023-10-20,768,37,0
2023-10-21,240,10,0
2023-10-22,18,1,0
2023-10-23,910,42,0
2023-10-24,1101,50,0
2023-10-25,823,32,0
2023-10-26,691,30,0
2023-10-27,714,30,0
2023-10-28,244,9,0
2023-10-29,17,1,0
2023-10-30,944,37,0
2023-10-31,984,47,0
2023-11-01,1413,57,0
2023-11-02,832,34,0
2023-11-03,879,36,0
2023-11-04,285,13,0
2023-11-05,20,1,0
2023-11-06,1002,43,0
2023-11-07,953,42,0
2023-11-08,1042,38,0
2023-11-09,946,35,0
2023-11-10,981,48,0
2023-11-11,267,10,0
2023-11-12,20,1,0
2023-11-13,1621,64,0
2023-11-14,981,43,0
2023-11-15,877,45,0
2023-11-16,929,34,0
2023-11-17,813,32,0
2023-11-18,310,15,0
2023-11-19,19,1,0
2023-11-20,1106,49,0
2023-11-21,1077,53,0
2023-11-22,1234,54,0
2023-11-23,1045,40,0
2023-11-24,557,20,0
2023-11-25,275,12,0
2023-11-26,17,1,0
2023-11-27,1267,46,0
2023-11-28,1016,45,0
2023-11-29,1141,60,0
2023-11-30,994,37,0
2023-12-01,867,34,0
2023-12-02,280,9,0
2023-12-03,18,1,0
2023-12-04,1211,46,0
2023-12-05,1165,40,0
2023-12-06,981,47,0
2023-12-07,854,35,0
2023-12-08,887,38,0
2023-12-09,277,9,0
2023-12-10,18,1,0
2023-12-11,1051,71,0
2023-12-12,943,34,0
2023-12-13,850,40,0
2023-12-14,608,23,0
2023-12-15,854,38,0
2023-12-16,284,11,0
2023-12-17,17,1,0
2023-12-18,1269,52,0
2023-12-19,1042,49,0
2023-12-20,941,33,0
2023-12-21,631,25,0
2023-12-22,741,31,0
2023-12-23,280,11,0
2023-12-24,21,1,0
2023-12-25,0,0,1
2023-12-26,0,0,1
2023-12-27,1133,45,0
2023-12-28,652,26,0
2023-12-29,801,38,0
2023-12-30,264,13,0
2023-12-31,19,1,0
2024-01-01,0,0,1
2024-01-02,1232,44,0
2024-01-03,630,25,0
2024-01-04,760,37,0
2024-01-05,604,24,0
2024-01-06,230,9,0
2024-01-07,16,1,0
2024-01-08,932,37,0
2024-01-09,855,42,0
2024-01-10,751,27,0
2024-01-11,783,36,0
2024-01-12,669,26,0
2024-01-13,208,11,0
2024-01-14,14,1,0
2024-01-15,1124,52,0
2024-01-16,816,30,0
2024-01-17,834,28,0
2024-01-18,753,27,0
2024-01-19,595,29,0
2024-01-20,203,10,0
2024-01-21,15,1,0
2024-01-22,971,37,0
2024-01-23,883,35,0
2024-01-24,648,26,0
2024-01-25,677,27,0
2024-01-26,629,24,0
2024-01-27,261,10,0
2024-01-28,11,0,0
2024-01-29,994,42,0
2024-01-30,781,32,0
2024-01-31,793,43,0
2024-02-01,689,34,0
2024-02-02,665,30,0
2024-02-03,262,13,0
2024-02-04,15,1,0
2024-02-05,1001,37,0
2024-02-06,871,38,0
2024-02-07,700,31,0
2024-02-08,778,35,0
2024-02-09,631,26,0
2024-02-10,205,9,0
2024-02-11,15,1,0
2024-02-12,941,38,0
2024-02-13,916,37,0
2024-02-14,768,29,0
2024-02-15,699,29,0
2024-02-16,757,31,0
2024-02-17,253,9,0
2024-02-18,17,1,0
2024-02-19,1043,40,0
2024-02-20,846,35,0
2024-02-21,746,33,0
2024-02-22,730,32,0
2024-02-23,731,34,0
2024-02-24,234,10,0
2024-02-25,13,1,0
2024-02-26,988,43,0
2024-02-27,734,27,0
2024-02-28,809,34,0
2024-02-29,663,24,0
2024-03-01,579,23,0
2024-03-02,238,9,0
2024-03-03,16,1,0
2024-03-04,824,34,0
2024-03-05,958,30,0
2024-03-06,1000,38,0
2024-03-07,652,24,0
2024-03-08,822,33,0
2024-03-09,221,8,0
2024-03-10,15,1,0
2024-03-11,1008,47,0
2024-03-12,758,30,0
2024-03-13,941,36,0
2024-03-14,837,37,0
2024-03-15,641,27,0
2024-03-16,237,10,0
2024-03-17,14,1,0
2024-03-18,1008,49,0
2024-03-19,1015,52,0
2024-03-20,682,29,0
2024-03-21,771,41,0
2024-03-22,724,34,0
2024-03-23,278,13,0
2024-03-24,19,1,0
2024-03-25,1017,41,0
2024-03-26,863,38,0
2024-03-27,901,38,0
2024-03-28,794,38,0
2024-03-29,0,0,1
2024-03-30,414,16,0
2024-03-31,0,0,1
2024-04-01,0,0,1
2024-04-02,1364,55,0
2024-04-03,933,38,0
2024-04-04,670,27,0
2024-04-05,743,26,0
2024-04-06,230,10,0
2024-04-07,22,1,0
2024-04-08,1208,48,0
2024-04-09,998,43,0
2024-04-10,878,43,0
2024-04-11,626,24,0
2024-04-12,821,33,0
2024-04-13,314,13,0
2024-04-14,16,1,0
2024-04-15,1230,51,0
2024-04-16,1084,51,0
2024-04-17,761,31,0
2024-04-18,976,53,0
2024-04-19,895,38,0
2024-04-20,279,14,0
2024-04-21,18,1,0
2024-04-22,1271,49,0
2024-04-23,853,37,0
2024-04-24,948,42,0
2024-04-25,1009,40,0
2024-04-26,687,30,0
2024-04-27,0,0,1
2024-04-28,26,1,0
2024-04-29,922,32,0
2024-04-30,1037,40,0
2024-05-01,856,34,0
2024-05-02,956,47,0
2024-05-03,708,28,0
2024-05-04,317,16,0
2024-05-05,17,1,0
2024-05-06,1269,62,0
2024-05-07,1001,34,0
2024-05-08,944,50,0
2024-05-09,0,0,1
2024-05-10,1232,47,0
2024-05-11,278,15,0
2024-05-12,17,1,0
2024-05-13,1404,50,0
2024-05-14,1181,43,0
2024-05-15,962,51,0
2024-05-16,987,44,0
2024-05-17,750,37,0
2024-05-18,263,13,0
2024-05-19,0,0,1
2024-05-20,0,0,1
2024-05-21,1667,69,0
2024-05-22,933,40,0
2024-05-23,1058,46,0
2024-05-24,936,36,0
2024-05-25,307,12,0
2024-05-26,22,1,0
2024-05-27,1250,44,0
2024-05-28,1118,54,0
2024-05-29,1087,47,0
2024-05-30,992,39,0
2024-05-31,952,33,0
2024-06-01,264,12,0
2024-06-02,24,1,0
2024-06-03,1199,43,0
2024-06-04,1129,44,0
2024-06-05,891,33,0
2024-06-06,1077,40,0
2024-06-07,1013,41,0
2024-06-08,347,14,0
2024-06-09,23,1,0
2024-06-10,1103,46,0
2024-06-11,1066,37,0
2024-06-12,1010,57,0
2024-06-13,919,44,0
2024-06-14,1012,36,0
2024-06-15,321,13,0
2024-06-16,21,1,0
2024-06-17,1420,57,0
2024-06-18,1057,39,0
2024-06-19,969,44,0
2024-06-20,936,36,0
2024-06-21,961,41,0
2024-06-22,330,14,0
2024-06-23,23,1,0
2024-06-24,1523,56,0
2024-06-25,1015,50,0
2024-06-26,1021,45,0
2024-06-27,1064,41,0
2024-06-28,783,39,0
2024-06-29,302,16,0
2024-06-30,24,1,0
2024-07-01,1540,65,0
2024-07-02,1346,58,0
2024-07-03,1102,45,0
2024-07-04,1030,49,0
2024-07-05,1037,32,0
2024-07-06,310,15,0
2024-07-07,22,1,0
2024-07-08,1585,81,0
2024-07-09,1162,52,0
2024-07-10,1030,36,0
2024-07-11,1060,44,0
2024-07-12,993,39,0
2024-07-13,343,15,0
2024-07-14,22,1,0
2024-07-15,1475,61,0
2024-07-16,1003,50,0
2024-07-17,1004,38,0
2024-07-18,1085,48,0
2024-07-19,840,33,0
2024-07-20,278,11,0
2024-07-21,19,1,0
2024-07-22,1253,52,0
2024-07-23,1196,57,0
2024-07-24,986,51,0
2024-07-25,1095,41,0
2024-07-26,1112,48,0
2024-07-27,322,13,0
2024-07-28,25,1,0
2024-07-29,1439,81,0
2024-07-30,1070,54,0
2024-07-31,1080,39,0
2024-08-01,952,44,0
2024-08-02,1016,45,0
2024-08-03,285,15,0
2024-08-04,25,1,0
2024-08-05,1482,65,0
2024-08-06,947,41,0
2024-08-07,1205,51,0
2024-08-08,1247,57,0
2024-08-09,853,39,0
2024-08-10,361,15,0
2024-08-11,17,1,0
2024-08-12,1427,61,0
2024-08-13,992,34,0
2024-08-14,1164,48,0
2024-08-15,853,35,0
2024-08-16,661,30,0
2024-08-17,339,13,0
2024-08-18,27,1,0
2024-08-19,1291,68,0
2024-08-20,1318,63,0
2024-08-21,1113,43,0
2024-08-22,1018,50,0
2024-08-23,988,36,0
2024-08-24,381,16,0
2024-08-25,19,1,0
2024-08-26,1458,63,0
2024-08-27,1245,43,0
2024-08-28,920,43,0
2024-08-29,1233,62,0
2024-08-30,1115,44,0
2024-08-31,286,10,0
2024-09-01,25,1,0
2024-09-02,1369,60,0
2024-09-03,1168,48,0
2024-09-04,1260,51,0
2024-09-05,1063,39,0
2024-09-06,941,31,0
2024-09-07,370,16,0
2024-09-08,24,1,0
2024-09-09,1479,65,0
2024-09-10,995,39,0
2024-09-11,885,42,0
2024-09-12,1153,54,0
2024-09-13,807,32,0
2024-09-14,318,15,0
2024-09-15,18,1,0
2024-09-16,1304,59,0
2024-09-17,999,42,0
2024-09-18,1247,53,0
2024-09-19,900,39,0
2024-09-20,876,36,0
2024-09-21,303,11,0
2024-09-22,23,1,0
2024-09-23,1109,55,0
2024-09-24,1143,46,0
2024-09-25,1019,44,0
2024-09-26,1058,50,0
2024-09-27,921,37,0
2024-09-28,289,14,0
2024-09-29,21,1,0
2024-09-30,1242,45,0
2024-10-01,1189,67,0
2024-10-02,1016,41,0
2024-10-03,915,36,0
2024-10-04,860,41,0
2024-10-05,312,12,0
2024-10-06,25,1,0
2024-10-07,1207,53,0
2024-10-08,1152,42,0
2024-10-09,1175,59,0
2024-10-10,749,29,0
2024-10-11,687,30,0
2024-10-12,257,12,0
2024-10-13,19,1,0
2024-10-14,1593,70,0
2024-10-15,1144,44,0
2024-10-16,1128,58,0
2024-10-17,931,40,0
2024-10-18,609,27,0
2024-10-19,217,8,0
2024-10-20,22,1,0
2024-10-21,1260,47,0
2024-10-22,924,50,0
2024-10-23,1100,44,0
2024-10-24,780,33,0
2024-10-25,925,37,0
2024-10-26,332,15,0
2024-10-27,17,1,0
2024-10-28,1067,56,0
2024-10-29,1159,42,0
2024-10-30,847,35,0
2024-10-31,1011,48,0
2024-11-01,828,31,0
2024-11-02,361,17,0
2024-11-03,22,1,0
2024-11-04,1342,67,0
2024-11-05,1109,41,0
2024-11-06,1147,39,0
2024-11-07,848,41,0
2024-11-08,910,37,0
2024-11-09,312,12,0
2024-11-10,23,1,0
2024-11-11,1195,72,0
2024-11-12,1438,60,0
2024-11-13,1062,41,0
2024-11-14,922,48,0
2024-11-15,1064,43,0
2024-11-16,380,16,0
2024-11-17,21,1,0
2024-11-18,1231,56,0
2024-11-19,1193,48,0
2024-11-20,1000,46,0
2024-11-21,1002,39,0
2024-11-22,1064,44,0
2024-11-23,330,15,0
2024-11-24,21,1,0
2024-11-25,1395,49,0
2024-11-26,1166,43,0
2024-11-27,1165,44,0
2024-11-28,1122,52,0
2024-11-29,859,38,0
2024-11-30,315,11,0
2024-12-01,26,1,0
2024-12-02,1387,66,0
2024-12-03,1134,48,0
2024-12-04,1289,53,0
2024-12-05,1010,44,0
2024-12-06,777,37,0
2024-12-07,331,12,0
2024-12-08,18,1,0
2024-12-09,1237,53,0
2024-12-10,1184,62,0
2024-12-11,1025,47,0
2024-12-12,913,38,0
2024-12-13,821,31,0
2024-12-14,284,13,0
2024-12-15,23,1,0
2024-12-16,1192,49,0
2024-12-17,1060,49,0
2024-12-18,1260,82,0
2024-12-19,927,46,0
2024-12-20,1007,52,0
2024-12-21,345,15,0
2024-12-22,20,1,0
2024-12-23,1083,39,0
2024-12-24,1178,50,0
2024-12-25,0,0,1
2024-12-26,0,0,1
2024-12-27,1255,51,0
2024-12-28,339,15,0
2024-12-29,23,1,0
2024-12-30,1127,57,0
2024-12-31,1290,50,0
2025-01-01,0,0,1
2025-01-02,1122,39,0
2025-01-03,699,26,0
2025-01-04,305,12,0
2025-01-05,19,1,0
2025-01-06,864,38,0
2025-01-07,950,42,0
2025-01-08,844,36,0
2025-01-09,807,40,0
2025-01-10,681,29,0
2025-01-11,211,9,0
2025-01-12,18,1,0
2025-01-13,963,41,0
2025-01-14,901,50,0
2025-01-15,799,33,0
2025-01-16,756,27,0
2025-01-17,781,43,0
2025-01-18,262,12,0
2025-01-19,16,1,0
2025-01-20,963,49,0
2025-01-21,892,40,0
2025-01-22,948,39,0
2025-01-23,835,42,0
2025-01-24,742,30,0
2025-01-25,243,10,0
2025-01-26,16,1,0
2025-01-27,1104,46,0
2025-01-28,753,28,0
2025-01-29,1013,43,0
2025-01-30,756,30,0
2025-01-31,681,26,0
2025-02-01,291,13,0
2025-02-02,17,1,0
2025-02-03,1090,44,0
2025-02-04,889,43,0
2025-02-05,718,28,0
2025-02-06,850,32,0
2025-02-07,828,31,0
2025-02-08,230,10,0
2025-02-09,20,1,0
2025-02-10,958,34,0
2025-02-11,881,36,0
2025-02-12,923,34,0
2025-02-13,841,30,0
2025-02-14,796,33,0
2025-02-15,237,9,0
2025-02-16,15,1,0
2025-02-17,879,32,0
2025-02-18,841,36,0
2025-02-19,780,35,0
2025-02-20,717,30,0
2025-02-21,774,33,0
2025-02-22,242,10,0
2025-02-23,14,1,0
2025-02-24,1426,70,0
2025-02-25,892,41,0
2025-02-26,772,31,0
2025-02-27,980,39,0
2025-02-28,856,35,0
2025-03-01,232,7,0
2025-03-02,15,1,0
2025-03-03,1011,43,0
2025-03-04,1120,43,0
2025-03-05,879,31,0
2025-03-06,798,32,0
2025-03-07,768,41,0
2025-03-08,305,13,0
2025-03-09,15,1,0
2025-03-10,1106,36,0
2025-03-11,859,47,0
2025-03-12,1146,40,0
2025-03-13,1069,45,0
2025-03-14,866,32,0
2025-03-15,270,12,0
2025-03-16,20,1,0
2025-03-17,904,33,0
2025-03-18,1063,44,0
2025-03-19,803,30,0
2025-03-20,775,33,0
2025-03-21,736,32,0
2025-03-22,268,11,0
2025-03-23,20,1,0
2025-03-24,1290,55,0
2025-03-25,1081,38,0
2025-03-26,860,42,0
2025-03-27,993,52,0
2025-03-28,803,33,0
2025-03-29,322,11,0
2025-03-30,17,1,0
2025-03-31,850,30,0
2025-04-01,1015,37,0
2025-04-02,1210,55,0
2025-04-03,992,41,0
2025-04-04,812,51,0
2025-04-05,318,14,0
2025-04-06,20,1,0
2025-04-07,1309,68,0
2025-04-08,1031,58,0
2025-04-09,1007,50,0
2025-04-10,983,40,0
2025-04-11,787,29,0
2025-04-12,260,8,0
2025-04-13,20,1,0
2025-04-14,1406,72,0
2025-04-15,1195,70,0
2025-04-16,1074,44,0
2025-04-17,1036,38,0
2025-04-18,0,0,1
2025-04-19,451,20,0
2025-04-20,0,0,1
2025-04-21,0,0,1
2025-04-22,1659,70,0
2025-04-23,1069,42,0
2025-04-24,1116,41,0
2025-04-25,1044,43,0
2025-04-26,0,0,1
2025-04-27,31,1,0
2025-04-28,1335,63,0
2025-04-29,1006,48,0
2025-04-30,1189,46,0
2025-05-01,992,33,0
2025-05-02,728,29,0
2025-05-03,309,11,0
2025-05-04,17,1,0
2025-05-05,1198,44,0
2025-05-06,1185,53,0
2025-05-07,970,37,0
2025-05-08,1163,46,0
2025-05-09,767,30,0
2025-05-10,329,12,0
2025-05-11,23,1,0
2025-05-12,1593,71,0
2025-05-13,1327,49,0
2025-05-14,1128,59,0
2025-05-15,1069,39,0
2025-05-16,926,28,0
2025-05-17,367,14,0
2025-05-18,20,1,0
2025-05-19,1477,60,0
2025-05-20,1213,45,0
2025-05-21,1148,50,0
2025-05-22,1046,40,0
2025-05-23,1170,50,0
2025-05-24,307,13,0
2025-05-25,23,1,0
2025-05-26,1463,61,0
2025-05-27,1328,69,0
2025-05-28,1193,39,0
2025-05-29,0,0,1
2025-05-30,1546,80,0
2025-05-31,281,10,0
2025-06-01,22,1,0
2025-06-02,1246,50,0
2025-06-03,1296,49,0
2025-06-04,1003,46,0
2025-06-05,993,64,0
2025-06-06,969,40,0
2025-06-07,393,16,0
2025-06-08,0,0,1
2025-06-09,0,0,1
2025-06-10,2142,91,0
2025-06-11,1047,41,0
2025-06-12,866,37,0
2025-06-13,942,40,0
2025-06-14,335,13,0
2025-06-15,26,1,0
2025-06-16,1825,63,0
2025-06-17,1106,51,0
2025-06-18,1502,61,0
2025-06-19,1332,57,0
2025-06-20,1091,49,0
2025-06-21,363,14,0
2025-06-22,29,1,0
2025-06-23,1506,52,0
2025-06-24,1240,47,0
2025-06-25,1211,53,0
2025-06-26,975,36,0
2025-06-27,1060,53,0
2025-06-28,348,14,0
2025-06-29,24,1,0
2025-06-30,1564,60,0
2025-07-01,1165,56,0
2025-07-02,1375,69,0
2025-07-03,1027,35,0
2025-07-04,1114,49,0
2025-07-05,292,15,0
2025-07-06,25,1,0
2025-07-07,1378,57,0
2025-07-08,1333,48,0
2025-07-09,1123,46,0
2025-07-10,884,32,0
2025-07-11,896,36,0
2025-07-12,359,14,0
2025-07-13,25,1,0
2025-07-14,1277,55,0
2025-07-15,1022,41,0
2025-07-16,1098,47,0
2025-07-17,1140,51,0
2025-07-18,953,36,0
2025-07-19,326,15,0
2025-07-20,26,1,0
2025-07-21,1689,77,0
2025-07-22,1445,60,0
2025-07-23,1092,48,0
2025-07-24,1179,43,0
2025-07-25,1005,41,0
2025-07-26,302,12,0
2025-07-27,26,1,0
2025-07-28,1543,99,0
2025-07-29,1266,61,0
2025-07-30,1407,88,0
2025-07-31,1268,52,0
2025-08-01,1123,44,0
2025-08-02,405,16,0
2025-08-03,26,1,0
2025-08-04,1315,61,0
2025-08-05,1279,43,0
2025-08-06,1350,54,0
2025-08-07,1069,46,0
2025-08-08,1029,50,0
2025-08-09,373,15,0
2025-08-10,28,1,0
2025-08-11,1740,76,0
2025-08-12,1463,59,0
2025-08-13,1188,48,0
2025-08-14,1281,59,0
2025-08-15,1080,39,0
2025-08-16,350,17,0
2025-08-17,27,1,0
2025-08-18,1599,64,0
2025-08-19,1216,50,0
2025-08-20,1374,57,0
2025-08-21,1126,49,0
2025-08-22,1082,45,0
2025-08-23,295,13,0
2025-08-24,24,1,0
2025-08-25,1351,51,0
2025-08-26,1177,56,0
2025-08-27,947,41,0
2025-08-28,1421,54,0
2025-08-29,992,41,0
2025-08-30,361,11,0
2025-08-31,26,1,0
2025-09-01,1476,68,0
2025-09-02,1381,57,0
2025-09-03,1011,36,0
2025-09-04,1165,50,0
2025-09-05,954,48,0
2025-09-06,367,13,0
2025-09-07,24,1,0
2025-09-08,1256,54,0
2025-09-09,1031,39,0
2025-09-10,1046,47,0
2025-09-11,1221,54,0
2025-09-12,1036,41,0
2025-09-13,360,15,0
2025-09-14,18,1,0
2025-09-15,1033,49,0
2025-09-16,1193,50,0
2025-09-17,1122,54,0
2025-09-18,1043,54,0
2025-09-19,1017,35,0
2025-09-20,334,13,0
2025-09-21,20,1,0
2025-09-22,1309,62,0
2025-09-23,1286,54,0
2025-09-24,1160,50,0
2025-09-25,1094,55,0
2025-09-26,1207,47,0
2025-09-27,327,15,0
2025-09-28,23,1,0
2025-09-29,1274,65,0
2025-09-30,1200,44,0
2025-10-01,1201,46,0
2025-10-02,1157,46,0
2025-10-03,937,44,0
2025-10-04,346,15,0
2025-10-05,22,1,0
2025-10-06,1119,48,0
2025-10-07,788,32,0
2025-10-08,1404,57,0
2025-10-09,1171,57,0
2025-10-10,934,33,0
2025-10-11,265,15,0
2025-10-12,19,1,0
2025-10-13,1598,67,0
2025-10-14,842,44,0
2025-10-15,1064,43,0
2025-10-16,1159,45,0
2025-10-17,941,39,0
2025-10-18,349,16,0
2025-10-19,21,1,0
2025-10-20,1731,63,0
2025-10-21,1061,43,0
2025-10-22,924,32,0
2025-10-23,1074,40,0
2025-10-24,1056,40,0
2025-10-25,316,11,0
2025-10-26,24,1,0
2025-10-27,1271,57,0
2025-10-28,1024,40,0
2025-10-29,1235,48,0
2025-10-30,1203,42,0
2025-10-31,1050,38,0
2025-11-01,351,14,0
2025-11-02,21,1,0
2025-11-03,1366,59,0
2025-11-04,1335,58,0
2025-11-05,1324,58,0
2025-11-06,1260,47,0
2025-11-07,880,39,0
2025-11-08,371,16,0
2025-11-09,24,1,0
2025-11-10,1560,69,0
2025-11-11,1345,58,0
2025-11-12,1199,68,0
