order_id,klant_id,stad,land,datum_besteld,product,categorie,aantal,stuksprijs,korting_pct,omzet,betaalmethode,beloofde_levertijd,levertijd_dagen,klachtmelding,te_laat
ORD-101029,K1146,Eindhoven,NL,25-06-2025,Metformine 850mg,Rx,67,4.16,15.0,236.91,creditcard,4,2.1,nee,0
ORD-101729,K1062,A'dam,NL,13/02/25,Vitamine D3 25mcg,OTC,13,7.32,5.0,90.4,,4,1.6,nee,0
ORD-101314,K1148,Eindhoven,NL,14/09/25,Amoxicilline 250mg,Rx,10,6.83,0.0,68.3,creditcard,4,3.2,nee,0
ORD-101563,K1034,UTRECHT,NL,01-09-2025,Omeprazol 20mg,Rx,11,5.15,10.0,50.99,vooruitbetaling,4,2.8,nee,0
ORD-101126,K1039,Amsterdam ,NL,30-01-2025,Vitamine D3 25mcg,OTC,27,7.21,0.0,194.67,incasso,4,1.7,nee,0
ORD-101737,K1043,Groningen,NL,11/04/25,Insuline pen,Koelketen,8,41.07,5.0,312.13,vooruitbetaling,6,4.1,nee,0
ORD-101122,K1039,UTRECHT,NL,28/09/25,Simvastatine 40mg,Rx,29,4.2,10.0,109.62,vooruitbetaling,4,3.2,nee,0
ORD-101370,K1078,Utrceht,NL,02-04-2025,Salbutamol inhalator,Rx,23,18.43,10.0,381.5,vooruitbetaling,4,3.0,nee,0
ORD-100334,K1115,Utrecht ,NL,16-03-2025,Omeprazol 20mg,Rx,72,5.09,15.0,272.66,factuur,4,3.9,nee,0
ORD-100493,K1110,Amsterdam ,NL,06/07/25,Simvastatine 40mg,Rx,26,3.87,0.0,100.62,creditcard,4,4.0,ja,1
ORD-101318,K1120,Rotterdam,NL,27-09-2025,Insuline pen,Koelketen,59,41.31,5.0,2315.43,creditcard,6,4.3,nee,0
ORD-101320,K1054,Eindhoven,NL,29/10/25,Amoxicilline 250mg,Rx,29,6.88,10.0,435.16,factuur,4,1.5,nee,0
ORD-100513,K1139,Utrceht,NL,10-08-2025,Vitamine D3 25mcg,OTC,40,6.84,0.0,273.6,factuur,4,2.4,nee,0
ORD-100356,K1136,Amsterdam,NL,25/10/25,Levothyroxine 50mcg,Rx,27,3.11,20.0,67.18,,4,3.2,nee,0
ORD-101968,K1171,amsterdam,NL,12/08/25,Paracetamol 500mg,OTC,14,1.88,10.0,23.69,factuur,4,4.2,ja,1
ORD-101174,K1006,Zwolle,NL,01/06/25,Ibuprofen 400mg,OTC,59,2.43,20.0,114.7,vooruitbetaling,4,4.0,nee,0
ORD-100949,K1041,Zwolle,NL,21/10/25,Omeprazol 20mg,Rx,58,5.15,10.0,268.83,factuur,4,2.0,nee,0
ORD-101507,K1054,Eindhoven,NL,26-09-2025,Levothyroxine 50mcg,Rx,40,3.15,0.0,126.0,factuur,4,4.5,ja,1
ORD-100874,K1134,Eindhoven,NL,18/08/25,Vitamine D3 25mcg,OTC,59,7.4,0.0,436.6,creditcard,4,2.4,nee,0
ORD-101657,K1061,Antwerpen,BEL,02-09-2025,Amoxicilline 250mg,Rx,19,6.64,,119.85,factuur,4,3.1,nee,0
ORD-100478,K1024,Gent,Belgie,22/06/25,Metformine 850mg,Rx,16,4.39,20.0,56.19,vooruitbetaling,4,2.6,nee,0
ORD-100718,K1026,Eindhoven,NL,2025-03-08,Salbutamol inhalator,Rx,226,19.37,10.0,3939.86,creditcard,4,5.4,ja,1
ORD-102164,K1114,Zwolle,NL,2025-03-21,Simvastatine 40mg,Rx,7,4.14,0.0,28.98,creditcard,4,3.4,nee,0
ORD-101281,K1061,Eindhoven,NL,26/01/25,Ibuprofen 400mg,OTC,9,2.33,10.0,18.87,creditcard,4,1.2,nee,0
ORD-101337,K1033,Eindhoven,NL,07-08-2025,Paracetamol 500mg,OTC,5,1.8,15.0,7.65,factuur,4,1.4,nee,0
ORD-102273,K1164,Gent,BEL,2025-11-02,Levothyroxine 50mcg,Rx,121,3.15,0.0,381.15,factuur,4,2.5,nee,0
ORD-100111,K1133,Maastricht,NL,29/09/25,Vitamine D3 25mcg,OTC,9,7.35,15.0,56.23,factuur,4,2.9,nee,0
ORD-102357,K1005,Amsterdam ,NL,2025-08-29,Metformine 850mg,Rx,4,4.22,5.0,16.04,incasso,4,1.2,nee,0
ORD-102279,K1030,Rotterdam,NL,2025-05-22,Ibuprofen 400mg,OTC,79,2.32,0.0,183.28,factuur,4,2.0,nee,0
ORD-100850,K1168,Den Haag,NL,09-08-2025,Levothyroxine 50mcg,Rx,3,3.18,15.0,8.11,incasso,4,2.6,nee,0
ORD-100440,K1084,Gent,BE,01/04/25,Paracetamol 500mg,OTC,34,1.86,5.0,60.08,factuur,4,3.2,nee,0
ORD-101860,K1109,Anvers,BEL,29/06/25,Amoxicilline 250mg,Rx,20,6.83,15.0,116.11,incasso,4,4.0,nee,0
ORD-102276,K1069,Utrecht ,NL,16-07-2025,Simvastatine 40mg,Rx,16,3.96,20.0,50.69,factuur,4,3.1,nee,0
ORD-101386,K1167,'s-Gravenhage,NL,05/04/25,Amoxicilline 250mg,Rx,5,6.93,5.0,32.92,creditcard,4,3.2,nee,0
ORD-101726,K1068,Rotterdam,NL,19/04/25,Amoxicilline 250mg,Rx,4,7.07,5.0,26.87,creditcard,4,3.1,nee,0
ORD-100236,K1066,Rotterdam,NL,2025-02-02,Salbutamol inhalator,Rx,73,18.42,10.0,1210.19,factuur,4,2.2,nee,0
ORD-101441,K1053,A'dam,NL,2025-06-25,Vitamine D3 25mcg,OTC,60,7.23,0.0,433.8,vooruitbetaling,4,2.4,nee,0
ORD-101480,K1100,Den  Haag,NL,18-09-2025,Vitamine D3 25mcg,OTC,31,7.1,0.0,220.1,incasso,4,1.2,nee,0
ORD-101599,K1140,Maastricht,NL,02-06-2025,Ibuprofen 400mg,OTC,107,2.34,10.0,225.34,factuur,4,,nee,0
ORD-101490,K1057,Gent,BEL,09-06-2025,Levothyroxine 50mcg,Rx,9,3.11,10.0,25.19,,4,2.8,nee,0
ORD-101243,K1006,A'dam,NL,06/06/25,Metformine 850mg,Rx,42,4.36,15.0,155.65,factuur,4,3.2,nee,0
ORD-100802,K1007,Eindhoven,NL,20/01/25,Salbutamol inhalator,Rx,8,17.99,0.0,143.92,factuur,4,2.8,nee,0
ORD-101834,K1067,Den  Haag,NL,29/08/25,Salbutamol inhalator,Rx,39,18.14,15.0,601.34,factuur,4,4.0,nee,0
ORD-100183,K1114,Utrceht,NL,19/09/25,Metformine 850mg,Rx,130,4.17,10.0,487.89,vooruitbetaling,4,3.6,nee,0
ORD-101608,K1174,Antwerpen,Belgie,2025-07-09,Salbutamol inhalator,Rx,14,19.53,5.0,259.75,factuur,4,2.3,nee,0
ORD-100577,K1021,Eindhoven,NL,16-05-2025,Levothyroxine 50mcg,Rx,18,3.17,15.0,48.5,creditcard,4,2.4,nee,0
ORD-101414,K1111,Gent,Belgie,09/07/25,Ibuprofen 400mg,OTC,104,2.46,10.0,230.26,vooruitbetaling,4,2.6,nee,0
ORD-102372,K1117,Utrecht ,NL,24/07/25,Paracetamol 500mg,OTC,29,1.75,5.0,48.21,vooruitbetaling,4,2.6,nee,0
ORD-100166,K1071,Amsterdam,NL,01/10/25,Metformine 850mg,Rx,15,4.18,15.0,53.29,,4,1.0,nee,0
ORD-100448,K1159,Amsterdam ,NL,2025-03-29,Levothyroxine 50mcg,Rx,13,3.01,0.0,39.13,vooruitbetaling,4,2.5,nee,0
ORD-101754,K1012,Gent,BEL,03/03/25,Metformine 850mg,Rx,14,4.25,0.0,59.5,vooruitbetaling,4,4.6,ja,1
ORD-100962,K1119,Utrecht,NL,28/05/25,Paracetamol 500mg,OTC,11,1.87,20.0,16.46,creditcard,4,,nee,0
ORD-101013,K1144,Gent,BE,27/02/25,Vitamine D3 25mcg,OTC,22,7.23,0.0,159.06,creditcard,4,2.9,nee,0
ORD-102116,K1175,rotterdam,NL,2025-05-06,Insuline pen,Koelketen,11,42.17,10.0,417.48,creditcard,6,4.0,ja,0
ORD-100328,K1075,Eindhoven,NL,30-10-2025,Salbutamol inhalator,Rx,42,18.92,5.0,754.91,vooruitbetaling,4,2.2,nee,0
ORD-102044,K1083,,NL,15-01-2025,Salbutamol inhalator,Rx,154,18.83,15.0,2464.85,incasso,4,2.4,nee,0
ORD-101728,K1104,den haag,NL,2025-06-11,Ibuprofen 400mg,OTC,37,2.41,10.0,80.25,vooruitbetaling,4,4.2,nee,1
ORD-101877,K1139,Gent,BEL,30/08/25,Paracetamol 500mg,OTC,7,1.83,20.0,10.25,factuur,4,1.0,nee,0
ORD-100194,K1069,den haag,NL,2025-02-11,Omeprazol 20mg,Rx,18,4.95,0.0,89.1,creditcard,4,3.4,nee,0
ORD-101687,K1152,Zwolle,NL,06-11-2025,Metformine 850mg,Rx,22,4.25,,84.15,creditcard,4,1.2,nee,0
ORD-101283,K1119,utrecht,NL,2025-03-03,Metformine 850mg,Rx,3,4.06,5.0,11.57,incasso,4,1.1,nee,0
ORD-100245,K1071,Eindhoven,NL,25-04-2025,Omeprazol 20mg,Rx,8,5.01,5.0,38.08,vooruitbetaling,4,3.7,nee,0
ORD-101376,K1069,Groningen,NL,2025-04-11,Paracetamol 500mg,OTC,14,1.82,10.0,22.93,vooruitbetaling,4,3.4,nee,0
ORD-101112,K1156,'s-Gravenhage,NL,06-04-2025,Vitamine D3 25mcg,OTC,30,7.21,10.0,194.67,incasso,4,4.9,ja,1
ORD-101878,K1174,Gent,Belgie,15/10/25,Metformine 850mg,Rx,6,4.1,0.0,24.6,incasso,4,1.6,nee,0
ORD-101801,K1039,A'dam,NL,2025-07-24,Levothyroxine 50mcg,Rx,60,3.04,15.0,155.04,incasso,4,1.5,nee,0
ORD-101680,K1136,Gent,Belgie,2025-05-11,Vitamine D3 25mcg,OTC,10,7.26,15.0,61.71,incasso,4,,nee,0
ORD-100269,K1086,Maastricht,NL,2025-10-06,Metformine 850mg,Rx,14,4.29,20.0,48.05,creditcard,4,4.3,ja,1
ORD-100301,K1003,Maastricht,NL,2025-04-08,Paracetamol 500mg,OTC,36,1.8,,64.8,creditcard,4,2.0,nee,0
ORD-101345,K1114,antwerpen,BE,2025-03-08,Paracetamol 500mg,OTC,32,1.84,5.0,55.94,incasso,4,2.7,nee,0
ORD-100228,K1108,Amsterdam,NL,15-01-2025,Levothyroxine 50mcg,Rx,18,3.2,10.0,51.84,incasso,4,1.0,nee,0
ORD-101573,K1162,Gent,BE,2025-01-20,Vitamine D3 25mcg,OTC,3,7.39,0.0,22.17,vooruitbetaling,4,1.0,nee,0
ORD-102329,K1096,rotterdam,NL,2025-06-03,Vitamine D3 25mcg,OTC,39,7.05,5.0,261.2,factuur,4,2.6,nee,0
ORD-100568,K1087,A'dam,NL,02/10/25,Insuline pen,Koelketen,128,40.06,20.0,4102.14,factuur,6,4.7,nee,0
ORD-100566,K1025,Gent,Belgie,20/05/25,Metformine 850mg,Rx,95,4.09,15.0,330.27,creditcard,4,3.2,nee,0
ORD-100965,K1133,Den Haag,NL,15-07-2025,Insuline pen,Koelketen,9,42.16,10.0,341.5,creditcard,6,4.7,nee,0
ORD-102326,K1169,Amsterdam ,NL,2025-11-16,Ibuprofen 400mg,OTC,85,2.43,0.0,206.55,creditcard,4,6.1,ja,1
ORD-100750,K1128,amsterdam,NL,2025-08-13,Amoxicilline 250mg,Rx,30,6.89,10.0,186.03,incasso,4,1.4,nee,0
ORD-101713,K1082,Utrecht ,NL,27-06-2025,Simvastatine 40mg,Rx,2,3.85,5.0,7.32,incasso,4,2.4,nee,0
ORD-101155,K1160,antwerpen,Belgie,02/03/25,Amoxicilline 250mg,Rx,4,6.91,0.0,27.64,creditcard,4,1.3,nee,0
ORD-100330,K1034,rotterdam,NL,18-01-2025,Levothyroxine 50mcg,Rx,10,3.03,10.0,27.27,incasso,4,3.7,nee,0
ORD-101097,K1045,Amsterdam ,NL,27-03-2025,Levothyroxine 50mcg,Rx,194,3.07,10.0,536.02,vooruitbetaling,4,4.5,ja,1
ORD-101067,K1036,Zwolle,NL,29-01-2025,Vitamine D3 25mcg,OTC,84,6.92,15.0,494.09,factuur,4,5.0,ja,1
ORD-101868,K1058,UTRECHT,NL,2025-11-04,Simvastatine 40mg,Rx,11,3.89,0.0,42.79,creditcard,4,1.4,nee,0
ORD-102330,K1014,Antwerpen,Belgie,19-05-2025,Salbutamol inhalator,Rx,10,18.46,5.0,440.73,vooruitbetaling,4,1.9,nee,0
ORD-101476,K1137,Amsterdam ,NL,30/08/25,Metformine 850mg,Rx,9,4.25,20.0,30.6,creditcard,4,3.3,nee,0
ORD-102298,K1091,antwerpen,Belgie,26/04/25,Amoxicilline 250mg,Rx,20,6.78,10.0,122.04,creditcard,4,2.3,nee,0
ORD-100350,K1115,Eindhoven,NL,18-01-2025,Paracetamol 500mg,OTC,57,1.89,15.0,91.57,incasso,4,3.0,nee,0
ORD-101487,K1031,Utrecht,NL,17-09-2025,Vitamine D3 25mcg,OTC,33,6.92,0.0,228.36,incasso,4,3.0,nee,0
ORD-100565,K1132,,NL,2025-09-05,Vitamine D3 25mcg,OTC,9,7.31,15.0,55.92,vooruitbetaling,4,1.0,nee,0
ORD-100805,K1076,Groningen,NL,2025-09-28,Vitamine D3 25mcg,OTC,31,7.37,10.0,205.62,creditcard,4,1.8,nee,0
ORD-101223,K1150,antwerpen,BE,2025-05-15,Amoxicilline 250mg,Rx,31,6.89,10.0,192.23,vooruitbetaling,4,5.1,ja,1
ORD-100883,K1158,Amsterdam,NL,04/10/25,Paracetamol 500mg,OTC,40,1.72,0.0,68.8,factuur,4,3.0,nee,0
ORD-101412,K1011,Eindhoven,NL,10-06-2025,Metformine 850mg,Rx,63,4.34,5.0,259.75,creditcard,4,3.0,nee,0
ORD-100424,K1096,Eindhoven,NL,15-05-2025,Omeprazol 20mg,Rx,10,4.96,0.0,49.6,creditcard,4,2.4,nee,0
ORD-100907,K1036,rotterdam,NL,25-07-2025,Paracetamol 500mg,OTC,40,1.76,10.0,63.36,factuur,4,2.4,nee,0
ORD-101704,K1042,rotterdam,NL,07-07-2025,Metformine 850mg,Rx,22,4.17,10.0,82.57,creditcard,4,2.4,nee,0
ORD-101194,K1087,Rotterdam,NL,21/02/25,Vitamine D3 25mcg,OTC,16,7.31,10.0,105.26,creditcard,4,3.6,nee,0
ORD-101072,K1145,Amsterdam,NL,26/07/25,Ibuprofen 400mg,OTC,42,2.24,10.0,84.67,incasso,4,2.9,nee,0
ORD-101492,K1057,Amsterdam,NL,04/09/25,Insuline pen,Koelketen,42,40.6,0.0,1705.2,creditcard,6,5.7,nee,0
ORD-100211,K1058,Den Haag,NL,07-11-2025,Amoxicilline 250mg,Rx,41,6.58,0.0,269.78,factuur,4,5.3,ja,1
ORD-101771,K1028,Zwolle,NL,16-01-2025,Amoxicilline 250mg,Rx,34,6.79,10.0,207.77,incasso,4,2.5,nee,0
ORD-101264,K1009,Utrceht,NL,25/08/25,Vitamine D3 25mcg,OTC,67,7.19,0.0,481.73,creditcard,4,1.5,nee,0
ORD-101753,K1106,rotterdam,NL,2025-11-25,Levothyroxine 50mcg,Rx,10,3.19,5.0,30.3,vooruitbetaling,4,3.4,nee,0
ORD-101259,K1034,Zwolle,NL,2025-08-05,Metformine 850mg,Rx,29,4.28,10.0,111.71,creditcard,4,3.3,nee,0
ORD-102208,K1149,rotterdam,NL,2025-02-20,Paracetamol 500mg,OTC,29,1.78,,41.3,factuur,4,4.9,ja,1
ORD-102275,K1171,Utrecht,NL,03-04-2025,Ibuprofen 400mg,OTC,18,2.34,20.0,33.7,factuur,4,1.0,nee,0
ORD-100087,K1177,A'dam,NL,12/04/25,Levothyroxine 50mcg,Rx,11,3.18,,31.48,creditcard,4,4.4,ja,1
ORD-100312,K1156,Amsterdam,NL,19/07/25,Metformine 850mg,Rx,56,4.5,5.0,239.4,factuur,4,2.4,nee,0
ORD-101263,K1143,,NL,11-03-2025,Omeprazol 20mg,Rx,8,4.9,5.0,37.24,vooruitbetaling,4,1.0,nee,0
ORD-100982,K1155,Eindhoven,NL,2025-02-10,Paracetamol 500mg,OTC,26,1.84,5.0,45.45,vooruitbetaling,4,3.4,nee,0
ORD-100751,K1170,Maastricht,NL,16/09/25,Levothyroxine 50mcg,Rx,35,3.14,0.0,109.9,creditcard,4,2.2,nee,0
ORD-100246,K1000,Eindhoven,NL,2025-02-15,Amoxicilline 250mg,Rx,21,6.75,15.0,120.49,vooruitbetaling,4,3.4,nee,0
ORD-101797,K1110,Amsterdam,NL,2025-11-10,Metformine 850mg,Rx,87,4.26,5.0,352.09,,4,2.2,nee,0
ORD-100003,K1124,Utrecht,NL,2025-01-14,Ibuprofen 400mg,OTC,13,2.47,0.0,32.11,factuur,4,2.8,nee,0
ORD-102134,K1124,Antwerpen,BEL,2025-09-25,Ibuprofen 400mg,OTC,57,2.36,10.0,121.07,vooruitbetaling,4,4.1,nee,1
ORD-101938,K1061,rotterdam,NL,05-03-2025,Insuline pen,Koelketen,31,42.22,20.0,1047.06,creditcard,6,4.0,nee,0
ORD-101672,K1110,Utrecht ,NL,03-06-2025,Salbutamol inhalator,Rx,14,18.72,0.0,262.08,incasso,4,1.9,nee,0
ORD-100532,K1083,Maastricht,NL,18/07/25,Salbutamol inhalator,Rx,16,18.8,10.0,270.72,vooruitbetaling,4,3.4,nee,0
ORD-100229,K1029,Utrecht ,NL,02-07-2025,Metformine 850mg,Rx,28,4.19,10.0,105.59,vooruitbetaling,4,3.1,nee,0
ORD-100859,K1020,Groningen,NL,09/02/25,Metformine 850mg,Rx,36,4.12,0.0,148.32,vooruitbetaling,4,,nee,0
ORD-100615,K1060,Amsterdam ,NL,2025-03-10,Ibuprofen 400mg,OTC,97,2.29,,211.02,incasso,4,1.9,nee,0
ORD-101207,K1172,Groningen,NL,10/01/25,Salbutamol inhalator,Rx,16,18.06,,231.17,creditcard,4,2.0,nee,0
ORD-101849,K1084,Utrecht ,NL,26-02-2025,Ibuprofen 400mg,OTC,45,2.44,15.0,93.33,factuur,4,3.2,nee,0
ORD-101095,K1154,Amsterdam ,NL,2025-09-23,Vitamine D3 25mcg,OTC,10,7.15,5.0,67.92,factuur,4,1.0,nee,0
ORD-100490,K1051,A'dam,NL,2025-03-27,Vitamine D3 25mcg,OTC,8,7.58,0.0,60.64,vooruitbetaling,4,1.0,nee,0
ORD-100867,K1162,Rotterdam,NL,11-08-2025,Omeprazol 20mg,Rx,21,4.96,10.0,93.74,factuur,4,2.2,nee,0
ORD-102056,K1048,Utrecht,NL,2025-08-17,Amoxicilline 250mg,Rx,5,7.03,5.0,33.39,factuur,4,2.7,nee,0
ORD-102341,K1033,Utrecht,NL,22-01-2025,Salbutamol inhalator,Rx,41,18.95,5.0,738.1,creditcard,4,2.8,nee,0
ORD-101443,K1086,Maastricht,NL,2025-06-25,Insuline pen,Koelketen,23,42.04,20.0,773.54,vooruitbetaling,6,5.8,nee,0
ORD-100293,K1038,Groningen,NL,07-02-2025,Levothyroxine 50mcg,Rx,28,3.05,0.0,85.4,vooruitbetaling,4,2.1,nee,0
ORD-100488,K1137,Zwolle,NL,2025-05-05,Vitamine D3 25mcg,OTC,44,7.46,10.0,295.42,factuur,4,2.2,nee,0
ORD-100472,K1013,Zwolle,NL,05/05/25,Paracetamol 500mg,OTC,6,1.84,,9.38,vooruitbetaling,4,2.2,nee,0
ORD-100103,K1081,Zwolle,NL,07/11/25,Salbutamol inhalator,Rx,33,17.74,0.0,585.42,creditcard,4,3.3,nee,0
ORD-100319,K1038,utrecht,NL,2025-05-21,Vitamine D3 25mcg,OTC,46,7.39,0.0,339.94,vooruitbetaling,4,1.0,nee,0
ORD-100355,K1054,Eindhoven,NL,30/09/25,Paracetamol 500mg,OTC,12,1.79,20.0,17.18,creditcard,4,1.0,nee,0
ORD-101154,K1116,A'dam,NL,30-04-2025,Amoxicilline 250mg,Rx,11,6.79,5.0,70.96,factuur,4,1.9,nee,0
ORD-100563,K1000,Groningen,NL,2025-11-10,Ibuprofen 400mg,OTC,53,2.5,0.0,132.5,factuur,4,6.6,ja,1
ORD-102058,K1097,Rotterdam,NL,2025-01-17,Salbutamol inhalator,Rx,62,18.48,10.0,1031.18,factuur,4,2.6,nee,0
ORD-101793,K1069,Amsterdam,NL,22-10-2025,Metformine 850mg,Rx,14,4.11,0.0,103.88,vooruitbetaling,4,1.3,nee,0
ORD-101721,K1123,Gent,BEL,20-02-2025,Paracetamol 500mg,OTC,54,1.79,0.0,96.66,factuur,4,1.8,nee,0
ORD-100866,K1043,Maastricht,NL,24-04-2025,Vitamine D3 25mcg,OTC,22,7.35,5.0,153.61,factuur,4,3.2,nee,0
ORD-102241,K1054,Groningen,NL,30-09-2025,Vitamine D3 25mcg,OTC,43,7.37,0.0,316.91,incasso,4,3.4,nee,0
ORD-100058,K1116,Maastricht,NL,2025-02-14,Vitamine D3 25mcg,OTC,91,7.46,0.0,678.86,vooruitbetaling,4,3.3,nee,0
ORD-100719,K1072,Antwerpen,BEL,13/08/25,Ibuprofen 400mg,OTC,15,2.33,10.0,31.46,vooruitbetaling,4,,nee,0
ORD-101665,K1122,'s-Gravenhage,NL,11/01/25,Vitamine D3 25mcg,OTC,38,7.1,0.0,269.8,incasso,4,4.6,nee,1
ORD-100439,K1088,antwerpen,Belgie,06-10-2025,Amoxicilline 250mg,Rx,31,6.77,15.0,178.39,factuur,4,3.5,nee,0
ORD-101516,K1053,Utrceht,NL,29/09/25,Paracetamol 500mg,OTC,66,1.86,,110.48,creditcard,4,3.0,nee,0
ORD-102311,K1160,Rotterdam,NL,07/02/25,Omeprazol 20mg,Rx,13,5.01,20.0,52.1,incasso,4,3.5,nee,0
ORD-101818,K1044,Utrecht,NL,29/06/25,Omeprazol 20mg,Rx,75,5.05,15.0,321.94,factuur,4,3.3,nee,0
ORD-100724,K1042,Utrecht,NL,16/04/25,Ibuprofen 400mg,OTC,15,2.31,0.0,34.65,vooruitbetaling,4,1.3,nee,0
ORD-101074,K1073,Utrceht,NL,01/06/25,Paracetamol 500mg,OTC,10,1.81,0.0,18.1,factuur,4,3.7,nee,0
ORD-101548,K1033,Eindhoven,NL,2025-07-15,Salbutamol inhalator,Rx,8,19.41,10.0,139.75,vooruitbetaling,4,4.6,ja,1
ORD-100602,K1068,Anvers,BEL,05/08/25,Levothyroxine 50mcg,Rx,52,3.14,10.0,146.95,vooruitbetaling,4,2.6,nee,0
ORD-100407,K1074,Amsterdam ,NL,26/07/25,Salbutamol inhalator,Rx,29,18.46,15.0,455.04,factuur,4,2.2,nee,0
ORD-102204,K1037,,NL,2025-03-22,Simvastatine 40mg,Rx,25,3.93,0.0,98.25,vooruitbetaling,4,1.6,nee,0
ORD-101623,K1174,Groningen,NL,2025-07-06,Insuline pen,Koelketen,123,42.02,0.0,5168.46,vooruitbetaling,6,6.2,ja,1
ORD-100378,K1051,amsterdam,NL,2025-01-13,Levothyroxine 50mcg,Rx,13,3.2,5.0,39.52,creditcard,4,1.7,nee,0
ORD-101110,K1179,Utrceht,NL,2025-08-14,Vitamine D3 25mcg,OTC,17,7.37,0.0,125.29,factuur,4,1.0,nee,0
ORD-100082,K1020,Den Haag,NL,23/06/25,Paracetamol 500mg,OTC,10,1.86,,17.67,vooruitbetaling,4,3.1,ja,0
